Fecha,LATINO,REP_DOM,BRAZIL,COLOMBIA,ECUADOR,ARGENTINA,MEXICO,PERU,PANAMA,VENEZUELA,URUGUAY,CHILE,EL_SALVADOR,RD_LATINO,,,,,,,,,,,,,,
29-Oct-07,2.33,2.28,1.75,1.60,5.97,3.50,1.26,1.46,1.57,4.02,2.05,,,-0.04,,,,,,,,,,,,,,
30-Oct-07,2.31,2.28,1.73,1.57,5.96,3.41,1.26,1.45,1.57,3.99,2.02,,,-0.03,,,,,,,,,,,,,,
31-Oct-07,2.20,2.13,1.66,1.48,5.75,3.12,1.21,1.37,1.46,3.83,1.91,,,-0.07,,,,,,,,,,,,,,
1-Nov-07,2.32,2.23,1.78,1.61,5.90,3.29,1.31,1.46,1.57,4.01,1.98,,,-0.09,,,,,,,,,,,,,,
2-Nov-07,2.40,2.31,1.85,1.68,5.96,3.41,1.38,1.53,1.66,4.13,2.04,,,-0.09,,,,,,,,,,,,,,
5-Nov-07,2.42,2.28,1.85,1.66,5.94,3.55,1.36,1.51,1.65,4.30,2.03,,,-0.14,,,,,,,,,,,,,,
6-Nov-07,2.39,2.25,1.83,1.65,5.85,3.45,1.33,1.51,1.62,4.25,1.99,,,-0.14,,,,,,,,,,,,,,
7-Nov-07,2.48,2.29,1.90,1.76,6.09,3.60,1.39,1.55,1.68,4.45,2.03,,,-0.19,,,,,,,,,,,,,,
8-Nov-07,2.58,2.40,1.99,1.85,6.17,3.85,1.46,1.63,1.76,4.59,2.09,,,-0.18,,,,,,,,,,,,,,
9-Nov-07,2.61,2.44,2.02,1.88,6.21,3.87,1.50,1.67,1.79,4.63,2.13,,,-0.17,,,,,,,,,,,,,,
13-Nov-07,2.61,2.40,2.01,1.87,6.11,3.83,1.51,1.67,1.81,4.64,2.16,,,-0.21,,,,,,,,,,,,,,
14-Nov-07,2.57,2.46,1.96,1.83,6.06,3.73,1.48,1.64,1.78,4.58,2.16,,,-0.11,,,,,,,,,,,,,,
15-Nov-07,2.66,2.52,2.01,1.94,6.09,3.99,1.54,1.70,1.82,4.80,2.19,,,-0.14,,,,,,,,,,,,,,
16-Nov-07,2.74,2.64,2.09,2.01,6.16,4.04,1.62,1.77,1.92,4.93,2.30,,,-0.11,,,,,,,,,,,,,,
19-Nov-07,2.86,2.72,2.19,2.09,6.31,4.25,1.69,1.88,1.99,5.21,2.37,,,-0.13,,,,,,,,,,,,,,
20-Nov-07,2.87,2.76,2.20,2.10,6.19,4.13,1.70,1.85,2.00,5.33,2.37,,,-0.10,,,,,,,,,,,,,,
